file,category,platform,expected,format,status,detail,note
04_paid_ads/splash_ads/splash_ad_logo_center_no_text_1242x2688.png,流量投放类,广告平台,1242x2688,PNG,PASS,"1242x2688 RGBA, 132372 bytes",
04_paid_ads/landing_page_components/landing_page_brand_header_750x420.png,流量投放类,落地页,750x420,PNG,PASS,"750x420 RGBA, 60552 bytes",
04_paid_ads/landing_page_components/landing_page_brand_header_1080x360.png,流量投放类,落地页,1080x360,PNG,PASS,"1080x360 RGBA, 56584 bytes",
04_paid_ads/landing_page_components/landing_page_brand_header_1200x480.png,流量投放类,落地页,1200x480,PNG,PASS,"1200x480 RGBA, 74168 bytes",
04_paid_ads/landing_page_components/landing_page_brand_header_1920x640.png,流量投放类,落地页,1920x640,PNG,PASS,"1920x640 RGBA, 107527 bytes",
04_paid_ads/landing_page_components/landing_page_brand_header_1920x1080.png,流量投放类,落地页,1920x1080,PNG,PASS,"1920x1080 RGBA, 190365 bytes",
05_offline_print/flyer_A4_300dpi_2480x3508.png,线下推广类,印刷,2480x3508,PNG,PASS,"2480x3508 RGBA, 811362 bytes",
05_offline_print/poster_A3_300dpi_3508x4961.png,线下推广类,印刷,3508x4961,PNG,PASS,"3508x4961 RGBA, 1303683 bytes",
05_offline_print/rollup_preview_800x1800.png,线下推广类,线下展示,800x1800,PNG,PASS,"800x1800 RGBA, 185107 bytes",
05_offline_print/merch_sticker_1024x1024.png,线下推广类,周边,1024x1024,PNG,PASS,"1024x1024 RGBA, 66345 bytes",
05_offline_print/merch_badge_1500x1500.png,线下推广类,周边,1500x1500,PNG,PASS,"1500x1500 RGBA, 165753 bytes",
05_offline_print/merch_tshirt_chest_2048x2048.png,线下推广类,周边,2048x2048,PNG,PASS,"2048x2048 RGBA, 129259 bytes",
05_offline_print/qr_promo_template_mini_program_600x600.png,线下推广类,线下推广,600x600,PNG,PASS,"600x600 RGBA, 20323 bytes",需替换真实二维码/小程序码
05_offline_print/qr_promo_template_app_download_600x600.png,线下推广类,线下推广,600x600,PNG,PASS,"600x600 RGBA, 20753 bytes",需替换真实二维码/小程序码
01_logo_base/vector/zentro_symbol_gradient.svg,Logo基础包,矢量源文件,vector/doc,SVG,PASS,1225 bytes,可在Figma/Illustrator/Inkscape中打开编辑
01_logo_base/vector/zentro_full_lockup_gradient.svg,Logo基础包,矢量源文件,vector/doc,SVG,PASS,1671 bytes,可在Figma/Illustrator/Inkscape中打开编辑
01_logo_base/vector/zentro_symbol_single_color_navy.svg,Logo基础包,矢量源文件,vector/doc,SVG,PASS,1212 bytes,可在Figma/Illustrator/Inkscape中打开编辑
01_logo_base/vector/zentro_symbol_reverse_white.svg,Logo基础包,矢量源文件,vector/doc,SVG,PASS,1212 bytes,可在Figma/Illustrator/Inkscape中打开编辑
01_logo_base/vector/zentro_symbol_cmyk_print.eps,Logo基础包,印刷/矢量,vector/doc,EPS,PASS,863 bytes,AI文件为AI兼容EPS结构；如需原生分层AI，请在Illustrator中打开后另存为.ai
01_logo_base/vector/zentro_symbol_ai_compatible.ai,Logo基础包,印刷/矢量,vector/doc,AI,PASS,863 bytes,AI文件为AI兼容EPS结构；如需原生分层AI，请在Illustrator中打开后另存为.ai
01_logo_base/vector/zentro_symbol_cmyk_vector_print.pdf,Logo基础包,印刷/矢量,1200x700,PDF,PASS,1612 bytes,矢量PDF，不依赖DPI；用于印刷排版
05_offline_print/rollup_80x180cm_vector.svg,线下推广类,印刷,vector/doc,SVG,PASS,2158 bytes,矢量SVG，可按300DPI或印厂要求输出PDF/AI
07_acceptance/asset_manifest.csv,验收测试,交付清单,vector/doc,CSV,PASS,24078 bytes,由生成脚本自动记录
